line,0,121.65,146.24,17.73,2.75,45
line,100,0,0,0,0,0
line,10.06,81.89,161.1,12.05,2.45,12
line,56.96,12.68,27.84,5.89,0.7,131
line,0,82.11,386.75,20.2,4.83,2
line,100,0,0,0,0,0
line,100,0,0,0,0,0
line,100,0,0,0,0,0
line,0,230.71,354.5,25.04,9.51,2
line,0,49.07,285.53,46.64,1.35,161
line,10.8,36.76,135.12,3.32,0.95,161
line,0,19.03,228.89,12.61,1.3,106
line,0,19.95,289.06,23.81,6.92,119
line,7.3,13.6,59.03,8.16,1.42,311
line,13.0,11.25,91.1,10.84,1.51,233
line,0,50.77,114.01,20.28,3.33,157
line,0,9.71,31.89,8.21,1.17,585
line,0,25.65,53.64,12.04,1.17,1087
line,100,0,0,0,0,0
line,100,0,0,0,0,0
line,100,0,0,0,0,0
line,81.67,2.37,38.69,1.97,0.71,180
depth,23.0,0,220.0,0.0,0.0,0
line,52.87,53.55,59.76,12.52,0.58,288
line,84.61,8.72,28.75,3.81,0.25,26
line,51.43,40.66,86.93,0.0,0.38,27
line,68.44,33.17,40.62,0.0,0.81,282
line,39.8,33.01,115.5,0.0,1.31,177
line,75.74,32.64,20.41,0.0,0.81,369
line,85.49,10.65,12.47,0.0,1.18,273
line,91.6,3.97,10.94,0.0,0.6,397
line,91.97,4.85,7.58,0.0,0.69,240
line,70.81,9.32,64.22,0.0,0.6,237
line,68.97,11.7,58.32,0.0,1.19,152
line,80.43,6.67,36.1,0.0,0.85,376
micro,62.21,10.91,83.77,0.0,0.82,653
line,76.78,17.7,27.11,0.0,1.33,346
line,82.18,12.49,24.86,5.81,0.65,490
line,86.29,6.77,21.82,0.0,0.67,310
circle,56.94,29.81,72.72,0.0,1.14,238
line,54.1,66.86,45.69,0.0,0.63,21
line,71.47,43.61,23.45,0.0,0.58,244
line,88.73,4.16,16.35,0.0,0.78,215
circle,68.51,14.9,62.31,0.0,0.74,98
line,94.77,3.05,6.05,0.0,0.38,383
circle,69.89,9.18,66.49,0.0,0.63,2087
line,83.03,9.13,30.26,0.0,0.54,251
line,81.7,10.76,27.52,0.0,0.87,225
line,28.16,52.97,42.77,28.56,6.81,116
brain,65.78,37.87,48.08,11.5,0.48,32
depth,43.45,32.97,113.0,12.4,0.72,100
brain,24.21,101.26,108.11,7.67,0.27,0
line,21.61,115.7,105.9,2.41,0.09,0
line,46.35,102.77,37.05,13.53,0.54,57
line,63.31,25.02,60.75,9.69,1.04,117
line,83.17,8.18,27.45,4.04,0.75,332
line,75.15,11.75,38.35,8.86,1.2,264
line,88.3,10.56,19.62,2.53,0.15,0
needle,88.41,6.11,23.81,2.1,0.16,0
line,82.97,21.0,24.23,2.43,0.17,0
needle,88.92,11.51,15.5,2.44,0.25,0
brain,72.28,10.65,61.77,4.44,0.34,5
depth,81.29,6.91,44.62,1.78,0.08,0
circle,100,0,0,0,0,0
brain,100,0,0,0,0,0
brain,69.92,14.08,53.28,3.16,0.17,0
micro,100,0,0,0,0,0
angle,77.12,19.12,42.0,3.53,0.19,0
circle,0,0,0,0,0,0
line,0,0,0,0,0,0
line,85.29,5.68,30.06,3.76,0.33,8
needle,75.88,30.86,34.55,2.84,0.16,0
brain,100,0,0,0,0,0
line,62.31,43.78,55.33,6.22,0.41,5
brain,0,0,0,0,0,0
